calories,sodium,fiber,carbo,sugars,potass,rating
70,130,10.000000,5.000000,6,280,68.402973
120,15,2.000000,8.000000,8,135,33.983679
70,260,9.000000,7.000000,5,320,59.425505
50,140,14.000000,8.000000,0,330,93.704912
110,200,1.000000,14.000000,8,-1,34.384843
110,180,1.500000,10.500000,10,70,29.509541
110,125,1.000000,11.000000,14,30,33.174094
130,210,2.000000,18.000000,8,100,37.038562
90,200,4.000000,15.000000,6,125,49.120253
90,210,5.000000,13.000000,5,190,53.313813
120,220,0.000000,12.000000,12,35,18.042851
110,290,2.000000,17.000000,1,105,50.764999
120,210,0.000000,13.000000,9,45,19.823573
110,140,2.000000,13.000000,7,105,40.400208
110,180,0.000000,12.000000,13,55,22.736446
110,280,0.000000,22.000000,3,25,41.445019
100,290,1.000000,21.000000,2,35,45.863324
110,90,1.000000,13.000000,12,20,35.782791
110,180,0.000000,12.000000,13,65,22.396513
110,140,4.000000,10.000000,7,160,40.448772
100,80,1.000000,21.000000,0,-1,64.533816
110,220,1.000000,21.000000,3,30,46.895644
100,140,2.000000,11.000000,10,120,36.176196
100,190,1.000000,18.000000,5,80,44.330856
110,125,1.000000,11.000000,13,30,32.207582
110,200,1.000000,14.000000,11,25,31.435973
100,0,3.000000,14.000000,7,100,58.345141
120,160,5.000000,12.000000,10,200,40.917047
120,240,5.000000,14.000000,12,190,41.015492
110,135,0.000000,13.000000,12,25,28.025765
100,45,0.000000,11.000000,15,40,35.252444
110,280,0.000000,15.000000,9,45,23.804043
100,140,3.000000,15.000000,5,85,52.076897
110,170,3.000000,17.000000,3,90,53.371007
120,75,3.000000,13.000000,4,100,45.811716
120,220,1.000000,12.000000,11,45,21.871292
110,250,1.500000,11.500000,10,90,31.072217
110,180,0.000000,14.000000,11,35,28.742414
110,170,1.000000,17.000000,6,60,36.523683
140,170,2.000000,20.000000,9,95,36.471512
110,260,0.000000,21.000000,3,40,39.241114
100,150,2.000000,12.000000,6,95,45.328074
110,180,0.000000,12.000000,12,55,26.734515
100,0,0.000000,16.000000,3,95,54.850917
150,95,3.000000,16.000000,11,170,37.136863
150,150,3.000000,16.000000,11,170,34.139765
160,150,3.000000,17.000000,13,160,30.313351
100,220,2.000000,15.000000,6,90,40.105965
120,190,0.000000,15.000000,9,40,29.924285
140,220,3.000000,21.000000,7,130,40.692320
90,170,3.000000,18.000000,2,90,59.642837
130,170,1.500000,13.500000,10,120,30.450843
120,200,6.000000,11.000000,14,260,37.840594
100,320,1.000000,20.000000,3,45,41.503540
50,0,0.000000,13.000000,0,15,60.756112
50,0,1.000000,10.000000,0,50,63.005645
100,135,2.000000,14.000000,6,110,49.511874
100,0,2.700000,-1.000000,-1,110,50.828392
120,210,5.000000,14.000000,12,240,39.259197
100,140,2.500000,10.500000,8,140,39.703400
90,0,2.000000,15.000000,6,110,55.333142
110,240,0.000000,23.000000,2,30,41.998933
110,290,0.000000,22.000000,3,35,40.560159
80,0,3.000000,16.000000,0,95,68.235885
90,0,4.000000,19.000000,0,140,74.472949
90,0,3.000000,20.000000,0,120,72.801787
110,70,1.000000,9.000000,15,40,31.230054
110,230,1.000000,16.000000,3,55,53.131324
90,15,3.000000,15.000000,5,90,59.363993
110,200,0.000000,21.000000,3,35,38.839746
140,190,4.000000,15.000000,14,230,28.592785
100,200,3.000000,16.000000,3,110,46.658844
110,250,0.000000,21.000000,3,60,39.106174
110,140,0.000000,13.000000,12,25,27.753301
100,230,3.000000,17.000000,3,115,49.787445
100,200,3.000000,17.000000,3,110,51.592193
110,200,1.000000,16.000000,8,60,36.187559
