rating,sugars,calories
68.402973,6,70
33.983679,8,120
59.425505,5,70
93.704912,0,50
34.384843,8,110
29.509541,10,110
33.174094,14,110
37.038562,8,130
49.120253,6,90
53.313813,5,90
18.042851,12,120
50.764999,1,110
19.823573,9,120
40.400208,7,110
22.736446,13,110
41.445019,3,110
45.863324,2,100
35.782791,12,110
22.396513,13,110
40.448772,7,110
64.533816,0,100
46.895644,3,110
36.176196,10,100
44.330856,5,100
32.207582,13,110
31.435973,11,110
58.345141,7,100
40.917047,10,120
41.015492,12,120
28.025765,12,110
35.252444,15,100
23.804043,9,110
52.076897,5,100
53.371007,3,110
45.811716,4,120
21.871292,11,120
31.072217,10,110
28.742414,11,110
36.523683,6,110
36.471512,9,140
39.241114,3,110
45.328074,6,100
26.734515,12,110
54.850917,3,100
37.136863,11,150
34.139765,11,150
30.313351,13,160
40.105965,6,100
29.924285,9,120
40.692320,7,140
59.642837,2,90
30.450843,10,130
37.840594,14,120
41.503540,3,100
60.756112,0,50
63.005645,0,50
49.511874,6,100
50.828392,-1,100
39.259197,12,120
39.703400,8,100
55.333142,6,90
41.998933,2,110
